2022,2023,2024
Georgia,Alabama,USC
Michigan,Ohio St.,LSU
LSU,Alabama,North Carolina
Cincinnati,Florida,Ohio St.
Oregon,Illinois,Notre Dame
NC St.,Ohio St.,LSU
Alabama,Texas Tech,Alabama
USC,Texas,Washington
Mississippi St.,Georgia,Washington
Ohio St.,Tennessee,Michigan
Ohio St.,Northwestern,Penn St.
Alabama,Alabama,Oregon
Georgia,Iowa,Georgia
Notre Dame,Georgia,Oregon St.
Texas A&M,Iowa St.,UCLA
Penn St.,Mississippi St.,Texas
Boston College,Oregon,Alabama
Arkansas,Iowa,Georgia
Northern Iowa,Pittsburgh,Florida St.
Pittsburgh,Ohio St.,Washington
Washington,TCU,Penn St.
Georgia,Boston College,Toledo
Florida,USC,LSU
Tulsa,Maryland,Alabama
Iowa,Utah,Arizona
Florida St.,Michigan,Duke
Utah,Oklahoma,Missouri
Georgia,Clemson,Texas
Chattanooga,Clemson,Oklahoma
Purdue,Georgia,Clemson
Michigan,Kansas St.,Florida
Georgia,Penn St.,South Carolina
Houston,Kentucky,Florida St.
North Dakota St.,Iowa,Georgia
Auburn,Notre Dame,Clemson
Iowa St.,TCU,Illinois
Baylor,Auburn,Washington
Penn St.,Syracuse,Texas
Washington,Ole Miss,Florida St.
Minnesota,Notre Dame,Iowa
Michigan St.,LSU,Alabama
Clemson,Oregon St.,Georgia
Kentucky,Wisconsin,Rutgers
Alabama,Kansas St.,Oregon
Michigan,Alabama,Texas A&M
Kentucky,Georgia Tech,Texas
Alabama,Illinois,Minnesota
Penn St.,North Dakota St.,LSU
Tennessee,Wisconsin,Michigan
Baylor,Michigan St.,Michigan
Nebraska,South Carolina,West Virginia
Georgia,UCLA,Texas
Cincinnati,Florida,Kansas St.
Western Michigan,USC,Ohio St.
Colorado St.,SMU,Houston
Ole Miss,Miami (FL),Western Michigan
Central Michigan,Minnesota,Alabama
Montana St.,Michigan,Georgia
LSU,Florida,Notre Dame
Nebraska,Michigan,Utah
USC,Penn St.,Missouri
Cincinnati,Penn St.,Washington
Georgia,Oklahoma,BYU
Oklahoma,South Carolina,Florida St.
Kentucky,Alabama,Western Kentucky
Oklahoma,Illinois,Florida St.
North Carolina,Arkansas,TCU
Mississippi St.,Tennessee,Penn St.
Ohio St.,Houston,Michigan
Wyoming,Alabama,Kentucky
Tennessee,TCU,Illinois
Washington St.,Syracuse,Kentucky
Virginia,Tennessee,Kansas St.
Cincinnati,Tennessee,Washington
Alabama,Ohio St.,Yale
UConn,Sacramento St.,Utah
Central Michigan,Tennessee,Maryland
UAB,South Dakota St.,USC
Baylor,North Carolina,Pittsburgh
UCLA,Oregon,Alabama
LSU,Tulane,UConn
Western Kentucky,Louisville,Illinois
Georgia,Iowa,Michigan
Texas A&M,Texas A&M,Michigan
Houston,Washington St.,Michigan
Liberty,Clemson,Kansas
San Diego St.,Penn St.,Notre Dame
South Alabama,Auburn,USC
Baylor,Wake Forest,Georgia
Memphis,Texas,Boston College
Arizona St.,Tulane,Missouri
UCLA,Oklahoma,Washington
LSU,Georgia,Penn St.
Ole Miss,Stanford,Houston Christian
Florida,Alabama,Duke
Maryland,Western Kentucky,Florida St.
Illinois,Arkansas,Texas A&M
Alabama,Baylor,NC St.
Purdue,Michigan,Miami (FL)
Cincinnati,Cincinnati,Rice
Ohio St.,Alabama,Texas
Georgia,USC,Oregon
Wisconsin,Old Dominion,Texas A&M
Wisconsin,Maryland,Texas Tech
SMU,Georgia,Alabama
Washington,BYU,North Carolina
Florida,Troy,Penn St.
Oklahoma,LSU,Oregon
Cincinnati,TCU,Oregon
Minnesota,Northwestern,UCF
Louisiana,Ohio St.,Oregon
San Diego St.,Maryland,Mississippi St.
Louisiana,Utah,North Carolina
Iowa,NC St.,Missouri
Pittsburgh,Texas,Iowa
Iowa St.,Auburn,LSU
Texas A&M,Eastern Michigan,Wisconsin
Missouri,Utah,UTEP
Alabama,Virginia Tech,South Dakota St.
Penn St.,Pittsburgh,Tennessee
Arizona St.,Florida,Michigan
Georgia,UCLA,Iowa
Texas A&M,Mississippi St.,Ohio St.
LSU,Ole Miss,Wake Forest
Texas Tech,TCU,Oregon
LSU,Missouri,British Columbia
South Dakota St.,Fresno St.,Clemson
Iowa St.,Georgia,Kentucky
Wisconsin,San Jose St.,Louisville
Penn St.,Oklahoma St.,Iowa St.
Michigan,Purdue,TCU
Nevada,Wisconsin,Utah
Georgia,Cincinnati,Washington St.
UTSA,LSU,Wisconsin
Fayetteville St.,Purdue,Arizona
North Dakota St.,Louisville,Auburn
Western Kentucky,Clemson,Maryland
Memphis,South Carolina,Clemson
Coastal Carolina,Houston,Temple
Wake Forest,UCLA,Notre Dame
Houston,LSU,Georgia
South Carolina St.,Northwestern,Oregon St.
Maryland,Pittsburgh,Notre Dame
North Carolina,UCLA,Kansas
Kentucky,Florida St.,Missouri
Indiana,Minnesota,Louisville
Arizona St.,Cincinnati,Notre Dame
Boise St.,Oregon,Ohio St.
Nevada,Penn St.,TCU
Stanford,Florida,South Carolina
BYU,Michigan,Missouri
Oklahoma,William & Mary,Texas A&M
UTSA,Pittsburgh,Ole Miss
Ole Miss,Michigan,Washington St.
North Dakota,South Alabama,Clemson
Cincinnati,Clemson,Louisville
Sam Houston St.,Stanford,Washington St.
Ohio St.,California,Colorado St.
Missouri St.,Virginia,Penn St.
UCLA,Texas A&M,Washington
Appalachian St.,Appalachian St.,Washington
Samford,Miami (FL),Texas
UCLA,Illinois,Duke
Notre Dame,BYU,Auburn
Minnesota,Minnesota,Marshall
Toledo,Stephen F. Austin,Purdue
Fresno St.,Alabama,Texas
Southern Utah,Auburn,Troy
North Carolina,North Carolina,Oregon St.
Oregon St.,Georgia,Pittsburgh
Washington,Purdue,Florida St.
Toledo,Oklahoma,Michigan
North Carolina,Georgia,South Dakota St.
Miami (OH),Georgia,Wake Forest
Tennessee,Clemson,Texas
LSU,Northwestern,International
Virginia Tech,BYU,Oklahoma
Arkansas,Southern Miss,Iowa
South Carolina,Bowling Green,Utah
San Diego St.,Louisville,South Carolina
Kansas,Kansas St.,Troy
Cincinnati,TCU,Tulane
South Carolina,Boise St.,UCLA
Illinois,Western Michigan,Virginia
Villanova,Penn St.,Florida St.
San Diego St.,Maryland,Alabama
Fordham,LSU,Illinois
Oklahoma St.,Stanford,Oregon
Virginia Tech,Nebraska,LSU
Georgia,Ohio St.,NC St.
Michigan St.,Nebraska,UAB
Youngstown St.,Michigan St.,Auburn
Oklahoma St.,Kentucky,Tennessee
Air Force,Texas,Arizona
Georgia,Wake Forest,Texas
Missouri,Eastern Michigan,Clemson
Ouachita Baptist,Stanford,Georgia
SMU,New Mexico,California
Tennessee,Oregon,Northern Iowa
Northwest Missouri St.,Boise St.,Mississippi St.
USC,Notre Dame,Marshall
Oklahoma,Rutgers,Georgia St.
Baylor,Florida,Alabama
Tennessee,LSU,UCF
LSU,Iowa St.,Louisville
Wisconsin,Princeton,Mississippi St.
Illinois,Auburn,Findlay
Michigan St.,Pittsburgh,New Hampshire
Virginia Tech,Old Dominion,Stanford
LSU,Liberty,Boston College
UCLA,Wagner,Tennessee
Georgia,Kansas St.,Arkansas
Georgia,West Virginia,Texas
Wake Forest,Michigan St.,Ole Miss
Virginia Tech,Ole Miss,USC
Cincinnati,TCU,Southeast Missouri St.
Jackson St.,Michigan,Arkansas
Minnesota,Kennesaw St.,Kentucky
Ole Miss,North Carolina,Penn St.
UCF,Old Dominion,UTEP
Penn St.,Texas A&M,International
Arkansas,UAB,Notre Dame
Oklahoma,Wingate,Air Force
California,Alabama,Ole Miss
Ole Miss,South Carolina,USC
Southern,Appalachian St.,Miami (FL)
South Carolina,North Carolina,South Dakota
Georgia Tech,UT Martin,Michigan St.
Rutgers,USC,Pittsburgh
Tulsa,Ole Miss,Wake Forest
Clemson,Arizona St.,Florida St.
Wisconsin,Kentucky,Texas A&M-Commerce
Lenoir Rhyne,Louisiana,Louisiana
Miami (FL),Oklahoma St.,Oklahoma
Montana St.,Central Michigan,Utah
Ole Miss,Northern Michigan,Texas Tech
Arizona St.,Georgia,Miami (FL)
Ohio St.,Michigan,USC
Yale,TCU,Eastern Kentucky
Oklahoma St.,Houston,Michigan
South Dakota St.,Purdue,USC
Baylor,Iowa St.,Miami (FL)
Washington St.,Oregon,Cincinnati
Valdosta St.,South Carolina,Auburn
Michigan,Jackson St.,Tulane
Texas Tech,Miami (FL),Washington
Kansas St.,Oklahoma,Auburn
LSU,Pittsburgh,Holy Cross
Penn St.,Texas,Michigan
UCLA,Ball St.,Purdue
Rutgers,Maryland,Florida St.
Coastal Carolina,Oregon St.,Michigan
Kansas St.,Michigan,Michigan
California,Houston,Kansas St.
NC St.,Purdue,Penn St.
Penn St.,Charlotte,South Carolina
Oklahoma,Oregon,Alabama
Nebraska,Stanford,
Marshall,Toledo,
Purdue,,
Michigan St.,,
Iowa St.,,
